expense_id,company_id,date,expense_category,vendor_name,amount,recurring_flag
1,2,2025-10-01,Payroll,Payroll Vendor,17880.11,1
2,2,2025-10-01,Rent,Rent Vendor,4337.61,1
3,2,2025-10-01,Software,Software Vendor,911.72,1
4,2,2025-10-01,Utilities,Utilities Vendor,673.15,1
5,2,2025-10-01,Shipping,Shipping Vendor,1224.7,0
6,2,2025-10-01,Supplies,Supplies Vendor,599.47,0
7,2,2025-10-01,Marketing,Marketing Vendor,3529.63,0
8,2,2025-11-01,Payroll,Payroll Vendor,18106.39,1
9,2,2025-11-01,Rent,Rent Vendor,4237.46,1
10,2,2025-11-01,Software,Software Vendor,1052.52,1
11,2,2025-11-01,Utilities,Utilities Vendor,900.39,1
12,2,2025-11-01,Shipping,Shipping Vendor,1743.23,0
13,2,2025-11-01,Supplies,Supplies Vendor,513.66,0
14,2,2025-11-01,Marketing,Marketing Vendor,3333.35,0
15,2,2025-12-01,Payroll,Payroll Vendor,18180.06,1
16,2,2025-12-01,Rent,Rent Vendor,4395.01,1
17,2,2025-12-01,Software,Software Vendor,954.57,1
18,2,2025-12-01,Utilities,Utilities Vendor,638.95,1
19,2,2025-12-01,Shipping,Shipping Vendor,1254.63,0
20,2,2025-12-01,Supplies,Supplies Vendor,373.31,0
21,2,2025-12-01,Marketing,Marketing Vendor,2978.68,0
22,2,2026-01-01,Payroll,Payroll Vendor,17892.33,1
23,2,2026-01-01,Rent,Rent Vendor,4376.96,1
24,2,2026-01-01,Software,Software Vendor,761.89,1
25,2,2026-01-01,Utilities,Utilities Vendor,875.12,1
26,2,2026-01-01,Shipping,Shipping Vendor,1630.31,0
27,2,2026-01-01,Supplies,Supplies Vendor,598.88,0
28,2,2026-01-01,Marketing,Marketing Vendor,2053.5,0
29,2,2026-02-01,Payroll,Payroll Vendor,17871.64,1
30,2,2026-02-01,Rent,Rent Vendor,4241.83,1
31,2,2026-02-01,Software,Software Vendor,880.78,1
32,2,2026-02-01,Utilities,Utilities Vendor,701.1,1
33,2,2026-02-01,Shipping,Shipping Vendor,1423.23,0
34,2,2026-02-01,Supplies,Supplies Vendor,756.1,0
35,2,2026-02-01,Marketing,Marketing Vendor,3322.16,0
36,2,2026-03-01,Payroll,Payroll Vendor,18007.98,1
37,2,2026-03-01,Rent,Rent Vendor,4196.88,1
38,2,2026-03-01,Software,Software Vendor,936.41,1
39,2,2026-03-01,Utilities,Utilities Vendor,697.43,1
40,2,2026-03-01,Shipping,Shipping Vendor,1297.9,0
41,2,2026-03-01,Supplies,Supplies Vendor,602.88,0
42,2,2026-03-01,Marketing,Marketing Vendor,3084.88,0
