record_id,campaign_id,date,impressions,clicks,leads,conversions,spend,revenue_attributed
1,1,2025-10-01,1907,98,24,0,71.19,0.0
2,2,2025-10-01,1681,109,27,0,35.63,0.0
3,3,2025-10-01,1570,74,18,1,7.0,64.32
4,1,2025-10-02,2150,138,34,1,58.54,96.37
5,2,2025-10-02,1806,85,21,0,49.12,0.0
6,3,2025-10-02,2364,81,20,1,5.78,141.0
7,1,2025-10-03,2203,113,28,1,68.2,116.38
8,2,2025-10-03,1120,56,14,0,46.25,0.0
9,3,2025-10-03,1573,86,21,1,7.89,102.33
10,1,2025-10-04,1456,47,11,0,74.56,0.0
11,2,2025-10-04,1550,68,17,0,37.56,0.0
12,3,2025-10-04,2080,90,22,1,-1.46,71.68
13,1,2025-10-05,1531,71,17,0,61.9,0.0
14,2,2025-10-05,1280,71,17,0,39.88,0.0
15,3,2025-10-05,934,60,15,1,16.21,73.74
16,1,2025-10-06,1902,81,20,0,58.4,0.0
17,2,2025-10-06,1963,99,24,0,52.27,0.0
18,3,2025-10-06,1761,94,23,1,-1.59,178.29
19,1,2025-10-07,1599,68,17,0,62.55,0.0
20,2,2025-10-07,2214,126,31,0,44.77,0.0
21,3,2025-10-07,2366,134,33,2,8.06,159.99
22,1,2025-10-08,1692,64,16,0,60.99,0.0
23,2,2025-10-08,954,60,15,0,54.48,0.0
24,3,2025-10-08,897,37,9,0,3.75,0.0
25,1,2025-10-09,2079,124,31,1,71.09,71.03
26,2,2025-10-09,994,53,13,0,51.88,0.0
27,3,2025-10-09,1887,92,23,1,9.33,85.17
28,1,2025-10-10,2134,134,33,1,70.91,120.56
29,2,2025-10-10,2158,111,27,0,41.0,0.0
30,3,2025-10-10,2079,105,26,2,6.05,281.17
31,1,2025-10-11,838,46,11,0,65.95,0.0
32,2,2025-10-11,1822,70,17,0,38.73,0.0
33,3,2025-10-11,1757,71,17,1,12.84,136.55
34,1,2025-10-12,2375,157,39,1,71.18,172.16
35,2,2025-10-12,922,46,11,0,49.53,0.0
36,3,2025-10-12,1108,66,16,1,0.95,151.86
37,1,2025-10-13,1640,70,17,0,71.88,0.0
38,2,2025-10-13,1216,77,19,0,36.29,0.0
39,3,2025-10-13,1128,45,11,0,3.74,0.0
40,1,2025-10-14,1032,37,9,0,63.12,0.0
41,2,2025-10-14,1435,69,17,0,50.94,0.0
42,3,2025-10-14,2124,140,35,2,6.72,168.48
43,1,2025-10-15,859,34,8,0,60.45,0.0
44,2,2025-10-15,1160,64,16,0,48.17,0.0
45,3,2025-10-15,2402,73,18,1,12.45,163.15
46,1,2025-10-16,2032,85,21,0,56.68,0.0
47,2,2025-10-16,1544,87,21,0,54.1,0.0
48,3,2025-10-16,2283,145,36,2,5.94,176.65
49,1,2025-10-17,1824,122,30,1,66.42,122.63
50,2,2025-10-17,2387,160,40,1,51.58,90.22
51,3,2025-10-17,1287,69,17,1,15.69,152.78
52,1,2025-10-18,1996,118,29,1,61.27,156.7
53,2,2025-10-18,1666,64,16,0,49.88,0.0
54,3,2025-10-18,1362,64,16,1,2.28,90.52
55,1,2025-10-19,1804,92,23,0,66.79,0.0
56,2,2025-10-19,1917,90,22,0,37.26,0.0
57,3,2025-10-19,2406,162,40,3,17.27,310.68
58,1,2025-10-20,2482,105,26,1,69.31,137.45
59,2,2025-10-20,871,55,13,0,53.1,0.0
60,3,2025-10-20,2214,147,36,2,16.82,281.18
61,1,2025-10-21,1587,67,16,0,60.06,0.0
62,2,2025-10-21,2463,141,35,0,42.26,0.0
63,3,2025-10-21,1706,77,19,1,2.73,169.17
64,1,2025-10-22,1323,55,13,0,62.86,0.0
65,2,2025-10-22,1409,54,13,0,50.13,0.0
66,3,2025-10-22,2093,89,22,1,16.32,157.47
67,1,2025-10-23,2416,75,18,0,67.89,0.0
68,2,2025-10-23,1806,88,22,0,51.46,0.0
69,3,2025-10-23,2269,106,26,2,14.82,340.45
70,1,2025-10-24,1128,65,16,0,57.01,0.0
71,2,2025-10-24,2033,120,30,0,42.04,0.0
72,3,2025-10-24,2223,69,17,1,4.54,66.25
73,1,2025-10-25,2090,99,24,0,67.83,0.0
74,2,2025-10-25,1209,66,16,0,35.06,0.0
75,3,2025-10-25,1123,44,11,0,-0.36,0.0
76,1,2025-10-26,2129,128,32,1,70.35,161.64
77,2,2025-10-26,2423,163,40,1,48.72,114.18
78,3,2025-10-26,1073,43,10,0,15.47,0.0
79,1,2025-10-27,2437,100,25,1,71.54,70.13
80,2,2025-10-27,1605,104,26,0,42.35,0.0
81,3,2025-10-27,1259,38,9,0,15.69,0.0
82,1,2025-10-28,2053,113,28,1,66.17,168.82
83,2,2025-10-28,1206,48,12,0,54.48,0.0
84,3,2025-10-28,2065,97,24,1,-1.0,91.22
85,1,2025-10-29,1553,57,14,0,56.78,0.0
86,2,2025-10-29,1876,88,22,0,35.28,0.0
87,3,2025-10-29,2179,108,27,2,7.07,173.88
88,1,2025-10-30,2465,151,37,1,59.06,94.56
89,2,2025-10-30,1066,50,12,0,44.88,0.0
90,3,2025-10-30,2487,102,25,2,2.31,282.53
91,1,2025-10-31,1636,100,25,1,63.37,63.45
92,2,2025-10-31,1282,70,17,0,54.52,0.0
93,3,2025-10-31,2201,123,30,2,5.39,140.58
94,1,2025-11-01,1462,100,25,1,64.38,107.71
95,2,2025-11-01,1585,92,23,0,39.24,0.0
96,3,2025-11-01,995,52,13,1,3.12,66.25
97,1,2025-11-02,1764,117,29,1,73.62,179.61
98,2,2025-11-02,2443,131,32,0,53.79,0.0
99,3,2025-11-02,1319,66,16,1,-1.09,105.71
100,1,2025-11-03,2174,97,24,0,74.55,0.0
101,2,2025-11-03,1988,73,18,0,46.19,0.0
102,3,2025-11-03,1494,97,24,1,7.86,75.83
103,1,2025-11-04,1886,89,22,0,61.35,0.0
104,2,2025-11-04,1061,53,13,0,41.27,0.0
105,3,2025-11-04,1538,103,25,2,3.62,187.9
106,1,2025-11-05,2055,129,32,1,72.54,171.21
107,2,2025-11-05,1692,111,27,0,45.34,0.0
108,3,2025-11-05,2364,160,40,3,17.89,380.04
109,1,2025-11-06,2103,130,32,1,73.46,66.39
110,2,2025-11-06,1270,47,11,0,37.97,0.0
111,3,2025-11-06,1756,83,20,1,1.27,179.42
112,1,2025-11-07,883,42,10,0,73.54,0.0
113,2,2025-11-07,1737,86,21,0,46.22,0.0
114,3,2025-11-07,1053,46,11,0,15.34,0.0
115,1,2025-11-08,1144,68,17,0,60.68,0.0
116,2,2025-11-08,2158,115,28,0,46.26,0.0
117,3,2025-11-08,1877,113,28,2,17.43,163.34
118,1,2025-11-09,1304,79,19,0,73.41,0.0
119,2,2025-11-09,853,35,8,0,52.75,0.0
120,3,2025-11-09,1565,83,20,1,0.44,174.15
121,1,2025-11-10,1114,34,8,0,71.74,0.0
122,2,2025-11-10,1782,85,21,0,49.15,0.0
123,3,2025-11-10,811,35,8,0,9.88,0.0
124,1,2025-11-11,1727,74,18,0,67.45,0.0
125,2,2025-11-11,2432,128,32,0,49.69,0.0
126,3,2025-11-11,2118,87,21,1,-1.03,155.78
127,1,2025-11-12,1920,130,32,1,69.88,105.77
128,2,2025-11-12,1164,46,11,0,42.98,0.0
129,3,2025-11-12,842,53,13,1,5.98,79.55
130,1,2025-11-13,1383,77,19,0,70.59,0.0
131,2,2025-11-13,1411,70,17,0,38.08,0.0
132,3,2025-11-13,1435,94,23,1,14.13,132.42
133,1,2025-11-14,996,63,15,0,62.18,0.0
134,2,2025-11-14,1594,78,19,0,44.79,0.0
135,3,2025-11-14,2349,110,27,2,6.46,208.38
136,1,2025-11-15,2091,98,24,0,58.73,0.0
137,2,2025-11-15,1749,99,24,0,41.83,0.0
138,3,2025-11-15,1814,92,23,1,12.27,137.67
139,1,2025-11-16,1758,83,20,0,56.68,0.0
140,2,2025-11-16,1104,76,19,0,44.55,0.0
141,3,2025-11-16,1309,66,16,1,4.01,95.46
142,1,2025-11-17,956,63,15,0,55.95,0.0
143,2,2025-11-17,1645,55,13,0,45.21,0.0
144,3,2025-11-17,1318,58,14,1,9.37,130.27
145,1,2025-11-18,833,28,7,0,70.37,0.0
146,2,2025-11-18,1173,74,18,0,38.59,0.0
147,3,2025-11-18,2242,93,23,1,6.33,130.47
148,1,2025-11-19,2172,104,26,1,64.1,156.94
149,2,2025-11-19,2458,92,23,0,41.83,0.0
150,3,2025-11-19,2037,82,20,1,12.94,140.81
151,1,2025-11-20,836,25,6,0,63.68,0.0
152,2,2025-11-20,1777,86,21,0,38.43,0.0
153,3,2025-11-20,2324,125,31,2,11.15,236.81
154,1,2025-11-21,2063,91,22,0,67.37,0.0
155,2,2025-11-21,1608,99,24,0,48.81,0.0
156,3,2025-11-21,1190,41,10,0,0.7,0.0
157,1,2025-11-22,854,32,8,0,74.41,0.0
158,2,2025-11-22,1692,107,26,0,47.99,0.0
159,3,2025-11-22,976,41,10,0,8.77,0.0
160,1,2025-11-23,844,29,7,0,64.48,0.0
161,2,2025-11-23,1711,117,29,0,49.78,0.0
162,3,2025-11-23,1998,79,19,1,15.2,95.38
163,1,2025-11-24,1602,51,12,0,71.59,0.0
164,2,2025-11-24,2260,106,26,0,47.61,0.0
165,3,2025-11-24,1985,106,26,2,7.91,253.03
166,1,2025-11-25,1798,82,20,0,60.82,0.0
167,2,2025-11-25,2189,144,36,0,49.49,0.0
168,3,2025-11-25,924,47,11,0,2.64,0.0
169,1,2025-11-26,930,37,9,0,61.32,0.0
170,2,2025-11-26,1039,51,12,0,52.78,0.0
171,3,2025-11-26,2228,105,26,2,4.94,158.72
172,1,2025-11-27,1761,77,19,0,69.52,0.0
173,2,2025-11-27,2202,95,23,0,39.39,0.0
174,3,2025-11-27,2145,104,26,2,14.85,331.96
175,1,2025-11-28,1599,109,27,1,69.46,159.97
176,2,2025-11-28,2304,102,25,0,48.46,0.0
177,3,2025-11-28,1131,62,15,1,17.42,93.89
178,1,2025-11-29,2166,106,26,1,69.99,80.79
179,2,2025-11-29,1807,61,15,0,38.13,0.0
180,3,2025-11-29,1421,55,13,1,17.88,126.82
181,1,2025-11-30,1534,100,25,1,74.99,102.85
182,2,2025-11-30,2495,160,40,1,38.17,120.42
183,3,2025-11-30,1491,70,17,1,14.14,134.11
184,1,2025-12-01,1258,62,15,0,57.41,0.0
185,2,2025-12-01,2375,75,18,0,50.7,0.0
186,3,2025-12-01,1109,71,17,1,3.35,164.84
187,1,2025-12-02,1013,59,14,0,67.09,0.0
188,2,2025-12-02,1736,118,29,0,43.76,0.0
189,3,2025-12-02,2400,130,32,2,17.49,307.72
190,1,2025-12-03,2486,130,32,1,73.95,120.88
191,2,2025-12-03,1041,67,16,0,38.34,0.0
192,3,2025-12-03,1398,81,20,1,1.14,151.44
193,1,2025-12-04,1003,36,9,0,64.97,0.0
194,2,2025-12-04,1051,67,16,0,51.38,0.0
195,3,2025-12-04,2374,71,17,1,6.31,160.18
196,1,2025-12-05,1387,69,17,0,64.47,0.0
197,2,2025-12-05,2345,109,27,0,42.45,0.0
198,3,2025-12-05,2342,140,35,2,2.91,221.21
199,1,2025-12-06,2442,115,28,1,59.56,170.16
200,2,2025-12-06,1857,114,28,0,52.96,0.0
201,3,2025-12-06,1098,66,16,1,-1.4,146.12
202,1,2025-12-07,942,31,7,0,65.35,0.0
203,2,2025-12-07,1136,53,13,0,54.64,0.0
204,3,2025-12-07,2113,76,19,1,-1.26,128.95
205,1,2025-12-08,2260,140,35,1,74.55,165.1
206,2,2025-12-08,1658,76,19,0,54.45,0.0
207,3,2025-12-08,1423,83,20,1,9.07,97.64
208,1,2025-12-09,2493,102,25,1,61.88,123.34
209,2,2025-12-09,2234,103,25,0,53.41,0.0
210,3,2025-12-09,2078,127,31,2,15.75,276.49
211,1,2025-12-10,2462,150,37,1,68.95,108.54
212,2,2025-12-10,1417,47,11,0,38.95,0.0
213,3,2025-12-10,2272,135,33,2,5.8,150.24
214,1,2025-12-11,1381,53,13,0,74.84,0.0
215,2,2025-12-11,1497,90,22,0,41.25,0.0
216,3,2025-12-11,2431,125,31,2,-1.44,182.09
217,1,2025-12-12,1422,83,20,0,71.64,0.0
218,2,2025-12-12,922,58,14,0,37.21,0.0
219,3,2025-12-12,1053,33,8,0,8.15,0.0
220,1,2025-12-13,1410,74,18,0,57.49,0.0
221,2,2025-12-13,1283,79,19,0,41.78,0.0
222,3,2025-12-13,2085,118,29,2,9.31,322.68
223,1,2025-12-14,1412,58,14,0,59.68,0.0
224,2,2025-12-14,2177,77,19,0,49.3,0.0
225,3,2025-12-14,1015,43,10,0,12.75,0.0
226,1,2025-12-15,1539,74,18,0,71.46,0.0
227,2,2025-12-15,1643,54,13,0,43.51,0.0
228,3,2025-12-15,1775,68,17,1,15.77,69.37
229,1,2025-12-16,1624,86,21,0,68.54,0.0
230,2,2025-12-16,1340,71,17,0,42.9,0.0
231,3,2025-12-16,2211,148,37,2,17.93,237.49
232,1,2025-12-17,2487,90,22,0,74.47,0.0
233,2,2025-12-17,1737,61,15,0,44.7,0.0
234,3,2025-12-17,1041,60,15,1,15.27,114.65
235,1,2025-12-18,1121,75,18,0,55.65,0.0
236,2,2025-12-18,2032,130,32,0,54.04,0.0
237,3,2025-12-18,1393,44,11,0,5.39,0.0
238,1,2025-12-19,1566,65,16,0,62.43,0.0
239,2,2025-12-19,1091,66,16,0,50.82,0.0
240,3,2025-12-19,1424,93,23,1,16.74,85.87
241,1,2025-12-20,1801,54,13,0,71.38,0.0
242,2,2025-12-20,891,41,10,0,36.35,0.0
243,3,2025-12-20,1491,91,22,1,9.32,117.03
244,1,2025-12-21,2040,72,18,0,69.4,0.0
245,2,2025-12-21,2359,113,28,0,47.73,0.0
246,3,2025-12-21,1466,49,12,0,15.33,0.0
247,1,2025-12-22,1593,62,15,0,67.47,0.0
248,2,2025-12-22,2173,142,35,0,45.82,0.0
249,3,2025-12-22,1139,66,16,1,10.92,128.64
250,1,2025-12-23,2248,95,23,0,70.92,0.0
251,2,2025-12-23,974,36,9,0,47.88,0.0
252,3,2025-12-23,908,62,15,1,9.54,122.61
253,1,2025-12-24,1829,120,30,1,70.01,74.43
254,2,2025-12-24,1168,80,20,0,53.72,0.0
255,3,2025-12-24,2499,145,36,2,2.12,333.04
256,1,2025-12-25,2452,125,31,1,63.88,98.45
257,2,2025-12-25,1806,116,29,0,46.78,0.0
258,3,2025-12-25,1649,51,12,0,6.74,0.0
259,1,2025-12-26,986,34,8,0,62.64,0.0
260,2,2025-12-26,1094,40,10,0,38.36,0.0
261,3,2025-12-26,1634,93,23,1,1.08,67.07
262,1,2025-12-27,1171,36,9,0,74.22,0.0
263,2,2025-12-27,1455,51,12,0,42.8,0.0
264,3,2025-12-27,2495,164,41,3,3.16,198.68
265,1,2025-12-28,2022,108,27,1,59.79,119.16
266,2,2025-12-28,1588,107,26,0,50.05,0.0
267,3,2025-12-28,1932,89,22,1,4.37,118.1
268,1,2025-12-29,1278,85,21,0,63.15,0.0
269,2,2025-12-29,2000,114,28,0,46.08,0.0
270,3,2025-12-29,2408,84,21,1,9.09,128.19
271,1,2025-12-30,2102,105,26,1,63.92,153.95
272,2,2025-12-30,1906,132,33,0,37.85,0.0
273,3,2025-12-30,1667,114,28,2,8.75,253.24
274,1,2025-12-31,2464,119,29,1,55.84,159.52
275,2,2025-12-31,1142,34,8,0,40.78,0.0
276,3,2025-12-31,2024,81,20,1,7.64,141.6
277,1,2026-01-01,2094,80,20,0,74.98,0.0
278,2,2026-01-01,1130,67,16,0,40.63,0.0
279,3,2026-01-01,1609,93,23,1,4.01,159.66
