order_item_id,order_id,product_id,quantity,unit_price,cost_price,line_total,gross_profit,order_date,customer_id,channel,status
1,1,6,4,79.99,28.0,319.96,207.96,2025-10-01,55,website,completed
2,1,2,3,149.99,55.0,449.97,284.97,2025-10-01,55,website,completed
3,1,5,1,129.99,48.0,129.99,81.99,2025-10-01,55,website,completed
4,2,6,1,79.99,28.0,79.99,51.99,2025-10-01,15,sales_rep,completed
5,2,2,3,149.99,55.0,449.97,284.97,2025-10-01,15,sales_rep,completed
6,3,4,3,39.99,11.0,119.97,86.97,2025-10-01,56,marketplace,completed
7,3,6,2,79.99,28.0,159.98,103.98,2025-10-01,56,marketplace,completed
8,3,3,1,45.99,12.0,45.99,33.99,2025-10-01,56,marketplace,completed
9,4,1,1,89.99,32.0,89.99,57.99,2025-10-01,39,marketplace,completed
10,5,1,3,89.99,32.0,269.97,173.97,2025-10-02,63,website,completed
11,5,6,2,79.99,28.0,159.98,103.98,2025-10-02,63,website,completed
12,6,4,1,39.99,11.0,39.99,28.99,2025-10-02,8,marketplace,completed
13,7,4,2,39.99,11.0,79.98,57.98,2025-10-02,63,website,completed
14,7,3,2,45.99,12.0,91.98,67.98,2025-10-02,63,website,completed
15,7,3,4,45.99,12.0,183.96,135.96,2025-10-02,63,website,completed
16,8,3,4,45.99,12.0,183.96,135.96,2025-10-02,71,marketplace,completed
17,8,3,2,45.99,12.0,91.98,67.98,2025-10-02,71,marketplace,completed
18,8,5,2,129.99,48.0,259.98,163.98,2025-10-02,71,marketplace,completed
19,9,3,3,45.99,12.0,137.97,101.97,2025-10-02,40,whatsapp,completed
20,9,3,4,45.99,12.0,183.96,135.96,2025-10-02,40,whatsapp,completed
21,9,4,4,39.99,11.0,159.96,115.96,2025-10-02,40,whatsapp,completed
22,10,3,1,45.99,12.0,45.99,33.99,2025-10-02,16,marketplace,completed
23,10,1,2,89.99,32.0,179.98,115.98,2025-10-02,16,marketplace,completed
24,11,1,1,89.99,32.0,89.99,57.99,2025-10-02,76,marketplace,returned
25,11,5,2,129.99,48.0,259.98,163.98,2025-10-02,76,marketplace,returned
26,11,3,1,45.99,12.0,45.99,33.99,2025-10-02,76,marketplace,returned
27,12,3,4,45.99,12.0,183.96,135.96,2025-10-03,43,website,completed
28,12,6,2,79.99,28.0,159.98,103.98,2025-10-03,43,website,completed
29,13,3,4,45.99,12.0,183.96,135.96,2025-10-03,70,marketplace,completed
30,13,6,2,79.99,28.0,159.98,103.98,2025-10-03,70,marketplace,completed
31,13,3,4,45.99,12.0,183.96,135.96,2025-10-03,70,marketplace,completed
32,14,5,3,129.99,48.0,389.97,245.97,2025-10-04,25,website,completed
33,14,4,4,39.99,11.0,159.96,115.96,2025-10-04,25,website,completed
34,15,5,1,129.99,48.0,129.99,81.99,2025-10-04,53,whatsapp,completed
35,16,1,2,89.99,32.0,179.98,115.98,2025-10-04,8,whatsapp,completed
36,17,5,4,129.99,48.0,519.96,327.96,2025-10-04,25,marketplace,completed
37,18,2,4,149.99,55.0,599.96,379.96,2025-10-04,24,sales_rep,completed
38,19,3,1,45.99,12.0,45.99,33.99,2025-10-04,71,website,completed
39,19,6,1,79.99,28.0,79.99,51.99,2025-10-04,71,website,completed
40,19,2,2,149.99,55.0,299.98,189.98,2025-10-04,71,website,completed
41,20,2,4,149.99,55.0,599.96,379.96,2025-10-04,22,whatsapp,completed
42,21,1,3,89.99,32.0,269.97,173.97,2025-10-04,8,marketplace,completed
43,21,2,4,149.99,55.0,599.96,379.96,2025-10-04,8,marketplace,completed
44,22,1,2,89.99,32.0,179.98,115.98,2025-10-05,55,whatsapp,completed
45,22,1,1,89.99,32.0,89.99,57.99,2025-10-05,55,whatsapp,completed
46,23,6,1,79.99,28.0,79.99,51.99,2025-10-05,75,website,completed
47,24,6,2,79.99,28.0,159.98,103.98,2025-10-05,75,whatsapp,completed
48,24,4,1,39.99,11.0,39.99,28.99,2025-10-05,75,whatsapp,completed
49,24,3,1,45.99,12.0,45.99,33.99,2025-10-05,75,whatsapp,completed
50,25,5,2,129.99,48.0,259.98,163.98,2025-10-05,24,website,completed
51,25,6,4,79.99,28.0,319.96,207.96,2025-10-05,24,website,completed
52,25,6,1,79.99,28.0,79.99,51.99,2025-10-05,24,website,completed
53,26,2,1,149.99,55.0,149.99,94.99,2025-10-05,73,marketplace,completed
54,27,4,3,39.99,11.0,119.97,86.97,2025-10-05,54,sales_rep,completed
55,28,2,3,149.99,55.0,449.97,284.97,2025-10-06,34,whatsapp,completed
56,28,4,4,39.99,11.0,159.96,115.96,2025-10-06,34,whatsapp,completed
57,28,5,3,129.99,48.0,389.97,245.97,2025-10-06,34,whatsapp,completed
58,29,2,1,149.99,55.0,149.99,94.99,2025-10-06,10,website,completed
59,29,2,1,149.99,55.0,149.99,94.99,2025-10-06,10,website,completed
60,29,1,2,89.99,32.0,179.98,115.98,2025-10-06,10,website,completed
61,30,5,1,129.99,48.0,129.99,81.99,2025-10-06,65,sales_rep,completed
62,30,3,2,45.99,12.0,91.98,67.98,2025-10-06,65,sales_rep,completed
63,31,5,3,129.99,48.0,389.97,245.97,2025-10-06,48,sales_rep,completed
64,31,1,1,89.99,32.0,89.99,57.99,2025-10-06,48,sales_rep,completed
65,31,6,3,79.99,28.0,239.97,155.97,2025-10-06,48,sales_rep,completed
66,32,2,2,149.99,55.0,299.98,189.98,2025-10-06,14,marketplace,completed
67,33,5,3,129.99,48.0,389.97,245.97,2025-10-07,37,marketplace,completed
68,34,1,1,89.99,32.0,89.99,57.99,2025-10-07,65,whatsapp,completed
69,35,2,2,149.99,55.0,299.98,189.98,2025-10-07,55,sales_rep,completed
70,35,6,3,79.99,28.0,239.97,155.97,2025-10-07,55,sales_rep,completed
71,36,1,1,89.99,32.0,89.99,57.99,2025-10-07,21,whatsapp,completed
72,36,5,1,129.99,48.0,129.99,81.99,2025-10-07,21,whatsapp,completed
73,37,2,2,149.99,55.0,299.98,189.98,2025-10-07,10,marketplace,completed
74,37,5,4,129.99,48.0,519.96,327.96,2025-10-07,10,marketplace,completed
75,38,1,3,89.99,32.0,269.97,173.97,2025-10-07,17,website,completed
76,39,3,4,45.99,12.0,183.96,135.96,2025-10-08,32,website,completed
77,39,2,2,149.99,55.0,299.98,189.98,2025-10-08,32,website,completed
78,39,4,2,39.99,11.0,79.98,57.98,2025-10-08,32,website,completed
79,40,6,2,79.99,28.0,159.98,103.98,2025-10-08,21,marketplace,completed
80,41,6,2,79.99,28.0,159.98,103.98,2025-10-08,43,whatsapp,completed
81,41,2,3,149.99,55.0,449.97,284.97,2025-10-08,43,whatsapp,completed
82,41,6,2,79.99,28.0,159.98,103.98,2025-10-08,43,whatsapp,completed
83,42,1,2,89.99,32.0,179.98,115.98,2025-10-08,14,whatsapp,completed
84,42,1,2,89.99,32.0,179.98,115.98,2025-10-08,14,whatsapp,completed
85,43,4,2,39.99,11.0,79.98,57.98,2025-10-08,59,sales_rep,completed
86,44,2,3,149.99,55.0,449.97,284.97,2025-10-09,25,whatsapp,completed
87,45,5,3,129.99,48.0,389.97,245.97,2025-10-09,45,whatsapp,completed
88,45,5,1,129.99,48.0,129.99,81.99,2025-10-09,45,whatsapp,completed
89,45,1,1,89.99,32.0,89.99,57.99,2025-10-09,45,whatsapp,completed
90,46,3,4,45.99,12.0,183.96,135.96,2025-10-10,23,sales_rep,returned
91,46,1,3,89.99,32.0,269.97,173.97,2025-10-10,23,sales_rep,returned
92,46,6,3,79.99,28.0,239.97,155.97,2025-10-10,23,sales_rep,returned
93,47,3,2,45.99,12.0,91.98,67.98,2025-10-10,56,website,completed
94,47,5,3,129.99,48.0,389.97,245.97,2025-10-10,56,website,completed
95,47,6,1,79.99,28.0,79.99,51.99,2025-10-10,56,website,completed
96,48,6,2,79.99,28.0,159.98,103.98,2025-10-10,56,website,completed
97,48,1,3,89.99,32.0,269.97,173.97,2025-10-10,56,website,completed
98,48,4,4,39.99,11.0,159.96,115.96,2025-10-10,56,website,completed
99,49,5,1,129.99,48.0,129.99,81.99,2025-10-10,9,sales_rep,completed
100,49,3,3,45.99,12.0,137.97,101.97,2025-10-10,9,sales_rep,completed
101,49,3,3,45.99,12.0,137.97,101.97,2025-10-10,9,sales_rep,completed
102,50,1,2,89.99,32.0,179.98,115.98,2025-10-10,53,sales_rep,completed
103,50,6,2,79.99,28.0,159.98,103.98,2025-10-10,53,sales_rep,completed
104,51,2,3,149.99,55.0,449.97,284.97,2025-10-10,54,whatsapp,completed
105,52,2,4,149.99,55.0,599.96,379.96,2025-10-11,71,website,completed
106,53,5,2,129.99,48.0,259.98,163.98,2025-10-11,75,sales_rep,completed
107,53,2,4,149.99,55.0,599.96,379.96,2025-10-11,75,sales_rep,completed
108,54,3,3,45.99,12.0,137.97,101.97,2025-10-11,22,website,completed
109,54,5,1,129.99,48.0,129.99,81.99,2025-10-11,22,website,completed
110,54,3,2,45.99,12.0,91.98,67.98,2025-10-11,22,website,completed
111,55,2,1,149.99,55.0,149.99,94.99,2025-10-11,40,marketplace,completed
112,56,6,1,79.99,28.0,79.99,51.99,2025-10-11,6,marketplace,completed
113,56,3,4,45.99,12.0,183.96,135.96,2025-10-11,6,marketplace,completed
114,56,4,4,39.99,11.0,159.96,115.96,2025-10-11,6,marketplace,completed
115,57,5,4,129.99,48.0,519.96,327.96,2025-10-11,74,marketplace,completed
116,57,4,4,39.99,11.0,159.96,115.96,2025-10-11,74,marketplace,completed
117,58,2,1,149.99,55.0,149.99,94.99,2025-10-11,32,marketplace,completed
118,59,4,4,39.99,11.0,159.96,115.96,2025-10-11,55,marketplace,completed
119,59,1,1,89.99,32.0,89.99,57.99,2025-10-11,55,marketplace,completed
120,59,3,2,45.99,12.0,91.98,67.98,2025-10-11,55,marketplace,completed
121,60,3,3,45.99,12.0,137.97,101.97,2025-10-12,59,marketplace,completed
122,60,3,4,45.99,12.0,183.96,135.96,2025-10-12,59,marketplace,completed
123,60,2,4,149.99,55.0,599.96,379.96,2025-10-12,59,marketplace,completed
124,61,1,4,89.99,32.0,359.96,231.96,2025-10-12,71,whatsapp,completed
125,61,3,4,45.99,12.0,183.96,135.96,2025-10-12,71,whatsapp,completed
126,61,3,3,45.99,12.0,137.97,101.97,2025-10-12,71,whatsapp,completed
127,62,1,4,89.99,32.0,359.96,231.96,2025-10-12,32,sales_rep,completed
128,62,1,2,89.99,32.0,179.98,115.98,2025-10-12,32,sales_rep,completed
129,62,6,3,79.99,28.0,239.97,155.97,2025-10-12,32,sales_rep,completed
130,63,1,3,89.99,32.0,269.97,173.97,2025-10-13,10,sales_rep,completed
131,63,4,1,39.99,11.0,39.99,28.99,2025-10-13,10,sales_rep,completed
132,64,2,2,149.99,55.0,299.98,189.98,2025-10-13,18,marketplace,completed
133,64,4,2,39.99,11.0,79.98,57.98,2025-10-13,18,marketplace,completed
134,64,2,1,149.99,55.0,149.99,94.99,2025-10-13,18,marketplace,completed
135,65,5,4,129.99,48.0,519.96,327.96,2025-10-13,54,whatsapp,completed
136,65,5,1,129.99,48.0,129.99,81.99,2025-10-13,54,whatsapp,completed
137,66,6,1,79.99,28.0,79.99,51.99,2025-10-13,27,whatsapp,completed
138,66,2,4,149.99,55.0,599.96,379.96,2025-10-13,27,whatsapp,completed
139,66,5,4,129.99,48.0,519.96,327.96,2025-10-13,27,whatsapp,completed
140,67,2,4,149.99,55.0,599.96,379.96,2025-10-13,1,sales_rep,completed
141,67,3,2,45.99,12.0,91.98,67.98,2025-10-13,1,sales_rep,completed
142,68,1,1,89.99,32.0,89.99,57.99,2025-10-13,63,marketplace,completed
143,68,6,4,79.99,28.0,319.96,207.96,2025-10-13,63,marketplace,completed
144,69,2,2,149.99,55.0,299.98,189.98,2025-10-13,44,whatsapp,completed
145,69,1,1,89.99,32.0,89.99,57.99,2025-10-13,44,whatsapp,completed
146,70,4,2,39.99,11.0,79.98,57.98,2025-10-13,51,website,completed
147,70,3,4,45.99,12.0,183.96,135.96,2025-10-13,51,website,completed
148,71,6,2,79.99,28.0,159.98,103.98,2025-10-13,24,website,completed
149,71,4,4,39.99,11.0,159.96,115.96,2025-10-13,24,website,completed
150,72,6,3,79.99,28.0,239.97,155.97,2025-10-14,44,whatsapp,completed
151,72,1,1,89.99,32.0,89.99,57.99,2025-10-14,44,whatsapp,completed
152,73,6,3,79.99,28.0,239.97,155.97,2025-10-14,61,website,completed
153,74,6,1,79.99,28.0,79.99,51.99,2025-10-14,29,website,completed
154,74,6,1,79.99,28.0,79.99,51.99,2025-10-14,29,website,completed
155,74,4,2,39.99,11.0,79.98,57.98,2025-10-14,29,website,completed
156,75,5,2,129.99,48.0,259.98,163.98,2025-10-14,26,website,completed
157,76,1,4,89.99,32.0,359.96,231.96,2025-10-14,61,website,completed
158,77,5,1,129.99,48.0,129.99,81.99,2025-10-14,33,sales_rep,completed
159,77,4,2,39.99,11.0,79.98,57.98,2025-10-14,33,sales_rep,completed
160,77,5,3,129.99,48.0,389.97,245.97,2025-10-14,33,sales_rep,completed
161,78,3,4,45.99,12.0,183.96,135.96,2025-10-14,14,website,completed
162,78,5,4,129.99,48.0,519.96,327.96,2025-10-14,14,website,completed
163,78,2,2,149.99,55.0,299.98,189.98,2025-10-14,14,website,completed
164,79,3,1,45.99,12.0,45.99,33.99,2025-10-15,76,marketplace,completed
