record_id,campaign_id,date,impressions,clicks,leads,conversions,spend,revenue_attributed
1,1,2025-10-01,15601,426,43,8,87.3,614.1
2,1,2025-10-02,15833,272,27,7,93.38,1167.56
3,1,2025-10-03,20858,891,106,22,102.31,892.2
4,1,2025-10-04,38489,1076,149,41,143.65,1168.96
5,1,2025-10-05,16485,531,65,19,68.78,1065.29
6,1,2025-10-06,18788,582,42,14,91.67,529.49
7,1,2025-10-07,13634,455,51,8,86.75,344.04
8,1,2025-10-08,20437,834,120,25,129.31,969.13
9,1,2025-10-09,15521,324,42,12,94.91,940.75
10,1,2025-10-10,21647,559,39,13,101.38,427.02
11,1,2025-10-11,20513,823,115,18,93.65,696.2
12,1,2025-10-12,29742,1276,174,54,128.37,305.95
13,1,2025-10-13,27071,909,124,36,108.23,355.12
14,1,2025-10-14,22181,968,97,16,133.38,1061.41
15,1,2025-10-15,15504,528,58,16,61.47,1006.21
16,1,2025-10-16,26485,1053,140,41,136.82,965.54
17,1,2025-10-17,13002,347,34,6,89.68,468.29
18,1,2025-10-18,35119,898,96,19,126.35,848.17
19,1,2025-10-19,22312,785,53,10,120.46,650.07
20,1,2025-10-20,13221,572,64,16,71.88,885.89
21,1,2025-10-21,20324,342,47,12,76.65,912.52
22,1,2025-10-22,9906,231,14,4,67.44,1162.45
23,1,2025-10-23,18781,385,24,6,107.6,971.43
24,1,2025-10-24,35321,555,46,6,140.85,814.95
25,1,2025-10-25,20019,672,68,11,139.64,485.83
26,1,2025-10-26,19230,686,99,17,103.39,516.13
27,1,2025-10-27,30814,914,84,16,133.96,733.04
28,1,2025-10-28,17747,519,41,8,87.8,699.34
29,1,2025-10-29,21255,380,53,12,103.41,399.22
30,1,2025-10-30,10342,222,28,8,59.24,1110.97
31,1,2025-10-31,12566,207,15,2,61.37,543.93
32,2,2025-10-01,23004,784,87,20,88.63,222.11
33,2,2025-10-02,26253,876,122,30,121.8,448.74
34,2,2025-10-03,35945,771,107,28,174.29,432.75
35,2,2025-10-04,37435,610,61,10,166.74,353.68
36,2,2025-10-05,27817,917,101,31,137.83,181.82
37,2,2025-10-06,15542,367,27,8,102.08,378.21
38,2,2025-10-07,12270,249,33,9,73.84,481.12
39,2,2025-10-08,31515,556,33,6,169.87,398.49
40,2,2025-10-09,24724,661,56,10,94.11,274.68
41,2,2025-10-10,20937,576,39,6,82.7,419.83
42,2,2025-10-11,35628,1209,122,21,149.04,496.29
43,2,2025-10-12,34802,1044,92,22,177.82,487.63
44,2,2025-10-13,18244,777,111,23,68.5,362.81
45,2,2025-10-14,33004,681,86,16,123.04,147.2
46,2,2025-10-15,17128,598,47,16,64.41,348.01
