order_item_id,order_id,product_id,quantity,unit_price,cost_price,line_total,gross_profit,order_date,customer_id,channel,status
1,1,1,3,89.96,27.49,269.88,187.41,2025-10-01,163,whatsapp,completed
2,1,5,1,34.71,9.06,34.71,25.65,2025-10-01,163,whatsapp,completed
3,1,3,2,76.79,23.58,153.58,106.42,2025-10-01,163,whatsapp,completed
4,2,1,2,91.4,26.86,182.8,129.08,2025-10-01,99,website,completed
5,3,2,1,63.15,19.26,63.15,43.89,2025-10-01,152,website,completed
6,4,5,2,33.39,8.87,66.78,49.04,2025-10-01,149,website,completed
7,4,6,1,41.88,12.7,41.88,29.18,2025-10-01,149,website,completed
8,5,6,2,42.99,12.68,85.98,60.62,2025-10-01,28,sales_rep,completed
9,5,4,3,59.74,17.64,179.22,126.3,2025-10-01,28,sales_rep,completed
10,6,1,2,86.47,27.06,172.94,118.82,2025-10-01,98,marketplace,completed
11,7,3,3,80.04,24.02,240.12,168.06,2025-10-02,147,website,completed
12,8,6,3,42.35,12.34,127.05,90.03,2025-10-02,153,website,completed
13,8,2,1,64.74,19.82,64.74,44.92,2025-10-02,153,website,completed
14,9,8,1,68.36,21.37,68.36,46.99,2025-10-02,1,marketplace,completed
15,10,2,3,65.55,19.57,196.65,137.94,2025-10-02,26,website,completed
16,10,4,3,57.78,17.61,173.34,120.51,2025-10-02,26,website,completed
17,11,7,1,125.48,41.23,125.48,84.25,2025-10-02,160,website,completed
18,12,7,3,132.53,40.97,397.59,274.68,2025-10-02,172,website,completed
19,12,4,3,58.67,17.47,176.01,123.6,2025-10-02,172,website,completed
20,13,5,2,34.74,8.93,69.48,51.62,2025-10-02,46,website,completed
21,14,4,2,58.09,17.24,116.18,81.7,2025-10-02,94,whatsapp,completed
22,15,5,1,34.94,9.14,34.94,25.8,2025-10-02,42,website,completed
23,16,8,2,68.99,20.84,137.98,96.3,2025-10-02,153,sales_rep,completed
24,17,4,3,59.61,17.35,178.83,126.78,2025-10-03,67,website,completed
25,18,3,1,78.35,23.8,78.35,54.55,2025-10-03,1,website,completed
26,18,3,2,79.02,24.25,158.04,109.54,2025-10-03,1,website,completed
27,18,4,2,60.15,17.59,120.3,85.12,2025-10-03,1,website,completed
28,19,8,1,69.42,20.92,69.42,48.5,2025-10-03,38,whatsapp,completed
29,19,6,1,40.85,12.32,40.85,28.53,2025-10-03,38,whatsapp,completed
30,20,8,2,71.03,21.2,142.06,99.66,2025-10-03,127,marketplace,completed
31,20,2,2,65.37,19.51,130.74,91.72,2025-10-03,127,marketplace,completed
32,21,5,3,33.61,9.14,100.83,73.41,2025-10-03,131,sales_rep,completed
33,21,8,3,69.54,21.08,208.62,145.38,2025-10-03,131,sales_rep,completed
34,22,5,3,34.56,8.96,103.68,76.8,2025-10-03,173,sales_rep,completed
35,22,1,3,87.62,27.08,262.86,181.62,2025-10-03,173,sales_rep,completed
36,22,5,3,33.2,8.83,99.6,73.11,2025-10-03,173,sales_rep,completed
37,23,5,2,34.76,9.08,69.52,51.36,2025-10-03,44,website,completed
38,24,3,2,80.95,23.85,161.9,114.2,2025-10-03,2,marketplace,completed
39,24,8,2,69.73,21.31,139.46,96.84,2025-10-03,2,marketplace,completed
40,25,4,1,60.56,17.84,60.56,42.72,2025-10-03,73,marketplace,completed
41,26,4,3,58.2,17.24,174.6,122.88,2025-10-03,59,marketplace,completed
42,27,7,1,127.38,40.65,127.38,86.73,2025-10-03,103,sales_rep,completed
43,28,7,3,130.52,40.41,391.56,270.33,2025-10-03,94,whatsapp,completed
44,28,2,3,65.94,19.3,197.82,139.92,2025-10-03,94,whatsapp,completed
45,29,2,2,63.44,19.71,126.88,87.46,2025-10-03,5,website,completed
46,30,4,2,58.37,17.6,116.74,81.54,2025-10-03,5,whatsapp,completed
47,30,5,1,34.31,8.9,34.31,25.41,2025-10-03,5,whatsapp,completed
48,30,6,3,42.56,12.72,127.68,89.52,2025-10-03,5,whatsapp,completed
49,31,7,1,132.38,41.76,132.38,90.62,2025-10-04,50,website,completed
50,31,7,2,131.92,40.2,263.84,183.44,2025-10-04,50,website,completed
51,32,5,3,33.99,9.16,101.97,74.49,2025-10-04,33,whatsapp,completed
52,33,6,3,41.39,12.34,124.17,87.15,2025-10-04,125,website,completed
53,34,7,2,131.53,41.03,263.06,181.0,2025-10-04,81,marketplace,completed
54,35,8,1,68.01,20.78,68.01,47.23,2025-10-04,177,website,completed
55,36,5,3,33.46,9.06,100.38,73.2,2025-10-04,90,website,completed
56,37,2,2,64.48,19.28,128.96,90.4,2025-10-04,46,website,completed
57,37,1,1,88.88,26.95,88.88,61.93,2025-10-04,46,website,completed
58,37,8,3,68.48,21.17,205.44,141.93,2025-10-04,46,website,completed
59,38,5,3,33.89,9.07,101.67,74.46,2025-10-04,143,sales_rep,completed
60,38,7,1,132.23,40.36,132.23,91.87,2025-10-04,143,sales_rep,completed
61,39,7,2,126.03,40.52,252.06,171.02,2025-10-04,135,website,completed
62,40,1,2,88.77,26.52,177.54,124.5,2025-10-04,29,sales_rep,completed
63,41,1,2,88.17,26.53,176.34,123.28,2025-10-05,107,website,returned
64,42,1,1,90.42,27.52,90.42,62.9,2025-10-05,23,whatsapp,completed
65,43,8,2,68.49,21.15,136.98,94.68,2025-10-05,113,website,completed
66,44,8,2,69.12,21.19,138.24,95.86,2025-10-05,144,website,completed
67,45,6,2,42.08,12.66,84.16,58.84,2025-10-05,6,sales_rep,completed
68,46,1,1,87.62,26.53,87.62,61.09,2025-10-06,94,website,completed
69,46,5,3,33.05,9.04,99.15,72.03,2025-10-06,94,website,completed
70,46,5,3,34.76,8.91,104.28,77.55,2025-10-06,94,website,completed
71,47,4,3,59.27,17.55,177.81,125.16,2025-10-06,4,website,completed
72,47,2,3,66.24,19.29,198.72,140.85,2025-10-06,4,website,completed
73,48,4,3,60.34,17.79,181.02,127.65,2025-10-06,175,marketplace,completed
74,49,5,2,34.58,8.93,69.16,51.3,2025-10-06,115,marketplace,completed
75,50,2,1,64.22,19.66,64.22,44.56,2025-10-06,44,website,completed
76,51,2,3,63.36,19.46,190.08,131.7,2025-10-06,20,marketplace,completed
77,51,2,2,63.41,19.68,126.82,87.46,2025-10-06,20,marketplace,completed
78,52,1,3,90.2,27.06,270.6,189.42,2025-10-06,74,website,completed
79,53,1,3,86.96,27.54,260.88,178.26,2025-10-06,91,website,completed
80,54,2,2,66.07,19.41,132.14,93.32,2025-10-06,68,marketplace,completed
81,55,7,2,132.21,40.79,264.42,182.84,2025-10-06,97,website,completed
82,55,6,2,40.86,12.68,81.72,56.36,2025-10-06,97,website,completed
83,56,2,2,65.27,19.3,130.54,91.94,2025-10-07,155,marketplace,completed
84,57,4,2,57.83,17.65,115.66,80.36,2025-10-07,92,website,completed
85,57,1,2,87.31,27.42,174.62,119.78,2025-10-07,92,website,completed
86,58,7,1,131.05,40.86,131.05,90.19,2025-10-07,21,marketplace,completed
87,59,3,1,79.56,24.16,79.56,55.4,2025-10-07,65,website,completed
88,60,3,1,79.14,23.78,79.14,55.36,2025-10-07,129,marketplace,returned
89,61,8,1,67.37,20.66,67.37,46.71,2025-10-07,10,marketplace,completed
90,62,7,1,128.02,40.85,128.02,87.17,2025-10-07,55,marketplace,completed
91,63,8,3,70.07,20.66,210.21,148.23,2025-10-07,63,website,completed
92,64,7,2,129.51,41.59,259.02,175.84,2025-10-07,147,marketplace,completed
93,64,5,1,34.81,9.15,34.81,25.66,2025-10-07,147,marketplace,completed
94,65,8,3,69.26,20.61,207.78,145.95,2025-10-08,151,marketplace,completed
95,66,7,2,132.32,40.67,264.64,183.3,2025-10-08,86,website,completed
96,67,6,3,42.56,12.5,127.68,90.18,2025-10-08,151,sales_rep,completed
97,67,1,2,86.62,26.93,173.24,119.38,2025-10-08,151,sales_rep,completed
98,68,2,2,64.96,19.39,129.92,91.14,2025-10-08,93,marketplace,completed
99,68,5,2,33.86,9.06,67.72,49.6,2025-10-08,93,marketplace,completed
100,68,7,3,128.07,41.45,384.21,259.86,2025-10-08,93,marketplace,completed
101,69,6,3,41.13,12.44,123.39,86.07,2025-10-08,69,sales_rep,completed
102,70,2,1,63.39,19.45,63.39,43.94,2025-10-08,29,website,completed
103,71,1,3,90.52,27.39,271.56,189.39,2025-10-08,137,website,returned
104,72,8,2,67.63,20.81,135.26,93.64,2025-10-08,4,website,completed
105,72,4,2,58.98,17.19,117.96,83.58,2025-10-08,4,website,completed
106,72,1,2,87.8,26.78,175.6,122.04,2025-10-08,4,website,completed
107,73,1,2,86.37,26.89,172.74,118.96,2025-10-08,98,website,completed
108,73,1,3,88.36,27.39,265.08,182.91,2025-10-08,98,website,completed
109,74,8,1,68.91,20.73,68.91,48.18,2025-10-09,172,whatsapp,completed
110,75,4,1,58.38,17.35,58.38,41.03,2025-10-09,87,website,completed
111,76,6,3,41.9,12.6,125.7,87.9,2025-10-09,99,website,completed
112,76,4,2,60.05,17.73,120.1,84.64,2025-10-09,99,website,completed
113,77,2,1,65.84,19.73,65.84,46.11,2025-10-09,4,marketplace,completed
114,78,8,3,68.66,20.61,205.98,144.15,2025-10-09,5,marketplace,completed
115,79,2,3,64.43,19.61,193.29,134.46,2025-10-09,143,marketplace,completed
116,80,1,3,89.1,27.09,267.3,186.03,2025-10-09,4,whatsapp,completed
